long,lat,epsg3413_x,epsg3413_y,elevation,id,meters_from_site,inclination_from_site,bearing_from_site
-149.0756582514,61.8898633008,-3011982.5,755197.5,1847.772,233,2617.297,11.72914956,241.16330609
-149.0756806887,61.8899055275,-3011977.5,755197.5,1846.560,234,2614.408,11.71630224,241.23965662
-149.0757031261,61.8899477541,-3011972.5,755197.5,1846.558,235,2611.524,11.72884124,241.31600997
-149.0757255635,61.8899899808,-3011967.5,755197.5,1847.615,236,2608.647,11.76365209,241.39236586
-149.075748001,61.8900322075,-3011962.5,755197.5,1847.031,237,2605.777,11.76395569,241.46872403
-149.0753892693,61.889536075,-3012022.5,755192.5,1856.172,238,2636.601,11.82061653,240.49698985
-149.0754117059,61.8895783017,-3012017.5,755192.5,1856.072,239,2633.657,11.83137868,240.57348335
-149.0754341425,61.8896205283,-3012012.5,755192.5,1855.546,240,2630.719,11.83325131,240.64998205
-149.0754565793,61.889662755,-3012007.5,755192.5,1855.320,241,2627.787,11.84137026,240.72648568
-149.0752100377,61.8893777557,-3012042.5,755187.5,1861.966,242,2644.422,11.90690076,240.13446711
-149.0752324739,61.8894199824,-3012037.5,755187.5,1861.325,243,2641.448,11.90660278,240.21111206
-149.0752549101,61.889462209,-3012032.5,755187.5,1859.708,244,2638.481,11.8859973,240.28776353
-149.0752773465,61.8895044357,-3012027.5,755187.5,1857.879,245,2635.519,11.86089296,240.36442125
-149.0752997829,61.8895466623,-3012022.5,755187.5,1857.135,246,2632.564,11.85830595,240.44108495
-149.0750981157,61.8893461162,-3012047.5,755182.5,1862.949,247,2643.390,11.93180486,240.00078393
-149.0751205517,61.8893883429,-3012042.5,755182.5,1862.893,248,2640.406,11.94373945,240.07759748
-149.0795418085,61.8977070621,-3011057.5,755182.5,1790.737,249,2200.134,12.46554908,255.0009636
-149.0747842751,61.8889344366,-3012097.5,755177.5,1849.325,250,2669.601,11.53754249,239.17403808
-149.0749413227,61.8892300232,-3012062.5,755177.5,1861.549,251,2648.385,11.88094564,239.71255072
-149.0749637583,61.8892722499,-3012057.5,755177.5,1863.577,252,2645.378,11.93611934,239.78951684
-149.0749861941,61.8893144766,-3012052.5,755177.5,1865.106,253,2642.377,11.98101815,239.86649108
-149.0750086299,61.8893567032,-3012047.5,755177.5,1864.326,254,2639.382,11.97800903,239.94347314
-149.079429847,61.8976754255,-3011062.5,755177.5,1789.431,255,2196.665,12.45213393,254.90740783
-149.0794522967,61.8977176529,-3011057.5,755177.5,1791.313,256,2195.317,12.506367,254.98064128
-149.0746723555,61.8889027967,-3012102.5,755172.5,1847.700,257,2668.701,11.50784111,239.03764114
-149.0746947905,61.8889450234,-3012097.5,755172.5,1848.911,258,2665.642,11.54567707,239.11470639
-149.0747396606,61.8890294767,-3012087.5,755172.5,1850.106,259,2659.542,11.59614732,239.26886833
-149.0747620958,61.8890717034,-3012082.5,755172.5,1852.533,260,2656.500,11.65928803,239.34596448
-149.074784531,61.8891139301,-3012077.5,755172.5,1855.422,261,2653.465,11.73206599,239.42307038
-149.0748069663,61.8891561568,-3012072.5,755172.5,1856.634,262,2650.435,11.7702269,239.50018574
-149.0748294017,61.8891983835,-3012067.5,755172.5,1858.087,263,2647.412,11.81342251,239.5773103
-149.0748518371,61.8892406102,-3012062.5,755172.5,1860.707,264,2644.394,11.88088249,239.65444377
-149.0745380015,61.8888289301,-3012112.5,755167.5,1845.376,265,2670.895,11.45074523,238.82341333
-149.0745604362,61.8888711568,-3012107.5,755167.5,1846.061,266,2667.820,11.47773405,238.9006306
-149.0745828709,61.8889133835,-3012102.5,755167.5,1846.849,267,2664.750,11.50686997,238.97785927
-149.0793181718,61.8978232889,-3011047.5,755167.5,1790.968,268,2183.011,12.56600759,255.08677723
-149.0793406214,61.8978655163,-3011042.5,755167.5,1794.608,269,2181.689,12.66442457,255.16025198
-149.0744485171,61.8888395167,-3012112.5,755162.5,1845.259,270,2666.957,11.46480673,238.76300388
